Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End	MP ID	Term
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0000754	paresis
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001326	retina degeneration
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001328	disorganized retina layers
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001393	ataxia
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001405	impaired coordination
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001713	decreased trophoblast giant cell number
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001715	placental labyrinth hypoplasia
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001908	abnormal somatosensory cortex physiology
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0001926	female infertility
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0002118	abnormal lipid homeostasis
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0002229	neurodegeneration
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0002730	head shaking
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0005112	abnormal spinal cord ventral horn morphology
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0005323	dystonia
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0005551	abnormal eye electrophysiology
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0009403	increased variability of skeletal muscle fiber size
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0009413	skeletal muscle fiber atrophy
Ttpa	current symbol	MGI:1354168	4	+	20007938	20030785	MP:0011231	abnormal vitamin E level
Dhrs6		No associated gene					
Cryz	current symbol	MGI:88527	3	+	154302348	154328819	
Krt20	current symbol	MGI:1914059	11	-	99319229	99328976	
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0000182	increased circulating LDL cholesterol level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0000519	hydronephrosis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0000522	kidney cortex cyst
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0000539	distended urinary bladder
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0001426	polydipsia
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0001552	increased circulating triglyceride level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0001762	polyuria
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0001859	kidney inflammation
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002083	premature death
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002135	abnormal kidney morphology
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002644	decreased circulating triglyceride level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002703	abnormal renal tubule morphology
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002705	dilated renal tubule
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002842	increased systemic arterial blood pressure
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002988	decreased urine osmolality
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0002989	small kidney
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003059	decreased insulin secretion
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003215	renal interstitial fibrosis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003619	abnormal urine color
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003675	kidney cyst
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003881	abnormal nephron morphology
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0003985	renal fibrosis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0004860	dilated kidney collecting duct
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0004969	pale kidney
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0005178	increased circulating cholesterol level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0005293	impaired glucose tolerance
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0005325	abnormal renal glomerulus morphology
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0005553	increased circulating creatinine level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0005565	increased blood urea nitrogen level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0008713	abnormal cytokine level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0008770	decreased survivor rate
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0008821	increased blood uric acid level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0009114	decreased pancreatic beta cell mass
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0009644	uremia
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0009645	crystalluria
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0009810	increased urine uric acid level
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011291	nephron necrosis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011346	renal tubule atrophy
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011363	renal glomerulus atrophy
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011402	renal cast
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011405	tubulointerstitial nephritis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011425	abnormal kidney interstitium morphology
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011501	increased glomerular capsule space
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0011625	cystolithiasis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0014117	increased pancreatic beta cell apoptosis
Uox	current symbol	MGI:98907	3	+	146302904	146337238	MP:0020087	increased susceptibility to non-insulin-dependent diabetes
Ugt2a3	current symbol	MGI:1919344	5	-	87472831	87485054	
Cyp2d13	current symbol	MGI:88605	15	-	82520951	82526246	
Cyp3a13	current symbol	MGI:88610	5	-	137891194	137919881	MP:0002169	no abnormal phenotype detected
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0000218	increased leukocyte cell number
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0000598	abnormal liver morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0000609	abnormal liver physiology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001191	abnormal skin condition
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001195	flaky skin
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001197	oily skin
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001231	abnormal epidermis stratum basale morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001238	thin epidermis stratum spinosum
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001239	abnormal epidermis stratum granulosum morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001242	hyperkeratosis
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001244	thin dermal layer
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001289	persistence of hyaloid vascular system
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001290	delayed eyelid opening
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001303	abnormal lens morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001304	cataract
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001325	abnormal retina morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001402	decreased locomotor activity
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001417	decreased exploration in new environment
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001488	increased startle reflex
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001556	increased circulating HDL cholesterol level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0001732	postnatal growth retardation
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002060	abnormal skin morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002090	abnormal vision
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002118	abnormal lipid homeostasis
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002647	decreased intestinal cholesterol absorption
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002699	abnormal vitreous body morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002791	steatorrhea
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002792	abnormal retina vasculature morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0002968	increased circulating alkaline phosphatase level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0003849	greasy coat
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0003853	dry skin
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0004151	decreased circulating iron level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0004773	abnormal bile composition
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0004774	abnormal bile salt level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005178	increased circulating cholesterol level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005344	increased circulating bilirubin level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005365	abnormal bile salt homeostasis
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005401	abnormal fat-soluble vitamin level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005419	decreased circulating serum albumin level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0005566	decreased blood urea nitrogen level
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0009674	decreased birth weight
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0010097	abnormal retina blood vessel morphology
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0011086	postnatal lethality, incomplete penetrance
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0011090	perinatal lethality, incomplete penetrance
Cyp7a1	current symbol	MGI:106091	4	-	6265612	6275632	MP:0011896	increased circulating unsaturated transferrin level
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0000266	abnormal heart morphology
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0000274	enlarged heart
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0000598	abnormal liver morphology
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0001157	small seminal vesicle
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0001262	decreased body weight
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0002059	abnormal seminal vesicle morphology
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0002060	abnormal skin morphology
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0002968	increased circulating alkaline phosphatase level
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0003868	abnormal feces composition
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0004772	abnormal bile secretion
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0004789	increased bile salt level
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0005084	abnormal gallbladder morphology
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0005344	increased circulating bilirubin level
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0005365	abnormal bile salt homeostasis
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0008874	decreased physiological sensitivity to xenobiotic
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0008875	abnormal xenobiotic pharmacokinetics
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0009342	enlarged gallbladder
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0009643	abnormal urine homeostasis
Slc10a1	current symbol	MGI:97379	12	-	80999959	81015479	MP:0009763	increased sensitivity to induced morbidity/mortality
C4bp	current symbol	MGI:88229	1	-	130563658	130589394	MP:0001556	increased circulating HDL cholesterol level
C4bp	current symbol	MGI:88229	1	-	130563658	130589394	MP:0005178	increased circulating cholesterol level
C4bp	current symbol	MGI:88229	1	-	130563658	130589394	MP:0008596	increased circulating interleukin-6 level
H2-Q10	current symbol	MGI:95929	17	+	35780986	35785460	MP:0008044	increased NK cell number
H2-Q10	current symbol	MGI:95929	17	+	35780986	35785460	MP:0008045	decreased NK cell number
H2-Q10	current symbol	MGI:95929	17	+	35780986	35785460	MP:0008347	decreased gamma-delta T cell number
H2-Q10	current symbol	MGI:95929	17	+	35780986	35785460	MP:0013666	decreased immature NK cell number
H2-Q10	current symbol	MGI:95929	17	+	35780986	35785460	MP:0013672	decreased mature NK cell number
Bhmt2	current symbol	MGI:1891379	13	-	93792605	93810810	
Serpind1	current symbol	MGI:96051	16	+	17149235	17161438	MP:0004883	abnormal vascular wound healing
Serpind1	current symbol	MGI:96051	16	+	17149235	17161438	MP:0005489	vascular smooth muscle hyperplasia
Serpind1	current symbol	MGI:96051	16	+	17149235	17161438	MP:0009548	abnormal platelet aggregation
Serpind1	current symbol	MGI:96051	16	+	17149235	17161438	MP:0011097	embryonic lethality between somite formation and embryo turning, complete penetrance
Serpind1	current symbol	MGI:96051	16	+	17149235	17161438	MP:0031121	increased susceptibility to induced thrombosis
Gstp1	current symbol	MGI:95865	19	-	4085411	4087912	MP:0001260	increased body weight
Gstp1	current symbol	MGI:95865	19	-	4085411	4087912	MP:0002051	increased skin papilloma incidence
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0000218	increased leukocyte cell number
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0001303	abnormal lens morphology
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0001529	abnormal vocalization
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0002792	abnormal retina vasculature morphology
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0010097	abnormal retina blood vessel morphology
Fbp2	current symbol	MGI:95491	13	-	62984698	63006214	MP:0011110	preweaning lethality, incomplete penetrance
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0001155	arrest of spermatogenesis
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0001325	abnormal retina morphology
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0001922	reduced male fertility
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0001925	male infertility
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0003727	abnormal retina layer morphology
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0004021	abnormal rod electrophysiology
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0004852	decreased testis weight
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0005282	decreased fatty acids level
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0005283	increased unsaturated fatty acids level
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0005285	decreased unsaturated fatty acids level
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0005578	teratozoospermia
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0006149	decreased visual acuity
Elovl2	current symbol	MGI:1858960	13	-	41335858	41373879	MP:0009230	abnormal sperm head morphology
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0000060	delayed bone ossification
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0000130	abnormal trabecular bone morphology
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0000194	increased circulating calcium level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0000198	decreased circulating phosphate level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0000747	muscle weakness
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0001262	decreased body weight
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0001265	decreased body size
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0001431	abnormal eating behavior
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0001921	reduced fertility
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0002082	postnatal lethality
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0002113	abnormal skeleton development
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0002901	increased urine phosphate level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0002905	decreased circulating parathyroid hormone level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0002968	increased circulating alkaline phosphatase level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0003197	nephrocalcinosis
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0005202	lethargy
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0005441	increased urine calcium level
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0009643	abnormal urine homeostasis
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0009674	decreased birth weight
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0009703	decreased birth body size
Slc34a1	current symbol	MGI:1345284	13	+	55547435	55562508	MP:0011228	abnormal vitamin D level
0610009B10Rik		No associated gene					
Tcf2		No associated gene					
Cml4		No associated gene					
Serpina3k	current symbol	MGI:98377	12	+	104304745	104311998	
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0000219	increased neutrophil cell number
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0000231	hypertension
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0000280	thin ventricular wall
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0000477	abnormal intestine morphology
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001179	thick pulmonary interalveolar septum
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001182	lung hemorrhage
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001313	increased incidence of corneal inflammation
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001314	corneal opacity
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001544	abnormal cardiovascular system physiology
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001596	hypotension
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001625	cardiac hypertrophy
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001853	heart inflammation
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001858	intestinal inflammation
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001861	lung inflammation
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0001862	interstitial pneumonia
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0002273	abnormal pulmonary alveolus epithelial cell morphology
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0002412	increased susceptibility to bacterial infection
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0002753	dilated heart left ventricle
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0002795	dilated cardiomyopathy
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0002833	increased heart weight
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003070	increased vascular permeability
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003136	yellow coat color
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003141	cardiac fibrosis
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003184	increased angiotensin I-converting enzyme activity
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003288	intestinal edema
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003292	melena
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003548	pulmonary hypertension
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003674	oxidative stress
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003819	increased left ventricle diastolic pressure
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003828	pulmonary edema
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0003868	abnormal feces composition
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0004013	decreased pulmonary artery pressure
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005036	diarrhea
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005140	decreased cardiac muscle contractility
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005165	increased susceptibility to injury
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005333	decreased heart rate
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005542	corneal vascularization
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005573	increased pulmonary respiratory rate
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005584	abnormal enzyme/coenzyme activity
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005598	decreased ventricle muscle contractility
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005608	cardiac interstitial fibrosis
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0005630	increased lung weight
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0006000	abnormal corneal epithelium morphology
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0006138	congestive heart failure
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0006144	increased systemic arterial systolic blood pressure
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0008022	dilated heart ventricle
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0008537	increased susceptibility to induced colitis
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0008577	increased circulating interferon-gamma level
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0008629	increased circulating interleukin-9 level
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0008713	abnormal cytokine level
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0009763	increased sensitivity to induced morbidity/mortality
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0009788	increased susceptibility to bacterial infection induced morbidity/mortality
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0010018	pulmonary vascular congestion
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0010155	abnormal intestine physiology
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0010180	increased susceptibility to weight loss
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0010210	abnormal circulating cytokine level
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0011044	increased lung elastance
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0011925	abnormal heart echocardiography feature
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0012041	increased susceptibility to pulmonary hyaline membrane formation
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0013956	decreased colon length
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020344	abnormal susceptibility to injury induced morbidity/mortality
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020446	increased NAD(P)H oxidase activity
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020861	abnormal corneal wound healing
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020946	increased susceptibility to Orthomyxoviridae infection
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020949	increased susceptibility to Coronaviridae infection
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0020950	decreased susceptibility to Coronaviridae infection
Ace2	current symbol	MGI:1917258	X	+	162922338	162971414	MP:0031046	increased susceptibility to Orthomyxoviridae infection induced morbidity/mortality
